label,message,processed_text,language
ham  ,"Sim, ele entrou às 2 e se desculpou muito. N tinha brigado e ela estava agindo como uma criança mimada e ele se envolveu nisso. Até as 2! Mas não vamos por aí! Não está indo tão mal, vivas. Você?",sim entrou s desculp n brig agind crian mim envolv niss at vam est indo to mal viv voc,portuguese
ham  ,K me conte algo sobre você.,k cont algo sobr voc,portuguese
ham  ,Com medo de desmaiar com todo aquele trabalho doméstico que você acabou de fazer? Tome uma xícara de chá rápido,med desmai tod trabalh domstic voc acab faz tom xcar ch rpid,portuguese
spam ,"Obrigado por sua assinatura do Ringtone UK, seu celular será cobrado £ 5/mês. Por favor, confirme respondendo SIM ou NÃO. Se você responder NÃO, você não será cobrado.",obrig assinatur rington uk celul cobr ms favor confirm respond sim voc respond voc cobr,portuguese
ham  ,"Sim... Ok, vou para casa, olho os horários e mando mensagem de novo... Xuhui vai aprender no dia 2 de maio também, mas a aula dela é às 8h.",sim ok vou cas olho horri mand mensag nov xuhu vai aprend dia mai tambm aul s h,portuguese
ham  ,"Opa, te aviso quando meu colega de quarto terminar",opa avis coleg quart termin,portuguese
ham  ,Eu vejo a letra B no meu carro,vej letr b carr,portuguese
ham  ,Qualquer coisa... Você decide...,qualqu cois voc decid,portuguese
ham  ,Olá! Como vai você e como foi o sábado? Só estava mandando mensagem para saber se você decidiu fazer alguma coisa amanhã. Não que eu esteja tentando me convidar ou algo assim!,ol vai voc sbad s mand mensag sab voc decid faz algum cois amanh tent convid algo assim,portuguese
ham  ,"Por favor, continue com watts. Eu só queria ter certeza. Tenha um ótimo final de semana. Abiola",favor continu watts s quer ter certez tim final seman abiol,portuguese
ham  ,"Eu esqueci de te dizer? Eu quero você, eu preciso de você, eu desejo você... Mas acima de tudo... Eu te amo meu doce corcel árabe... Mmmmmm... Delicioso",esquec diz quer voc precis voc desej voc acim tud amo doc corcel rab mmmmmm delic,portuguese
spam ,07732584351 - Rodger Burns - MSG = Tentamos ligar para você em resposta à nossa mensagem de texto para um celular Nokia grátis + uma filmadora grátis. Ligue agora para 08000930705 para entrega amanhã,rodg burns msg tent lig voc respost mensag text celul nok grtis filmador grtis lig agor entreg amanh,portuguese
ham  ,QUEM VOCÊ ESTÁ SAINDO?,voc est saind,portuguese
ham  ,Ótimo! Espero que você goste do seu homem bem dotado. Eu tenho &lt;#&gt; polegadas...,tim esper voc gost hom bem dot ltgt poleg,portuguese
ham  ,Nenhuma chamada...mensagens...chamadas perdidas,nenhum chamadamensagenscham perd,portuguese
ham  ,Você não recebeu imunização contra hepatite B na Nigéria?,voc receb imuniza contr hepatit b nigr,portuguese
ham  ,"Tudo bem, aconteceu alguma coisa?",tud bem acontec algum cois,portuguese
ham  ,"Sim, espero que, se Tyler não puder fazer isso, eu possa perguntar um pouco.",sim esper tyler pud faz poss pergunt pouc,portuguese
ham  ,Você não sabe o quão teimosa eu sou. Eu nem queria ir para o hospital. Eu ficava dizendo ao Mark que eu não sou uma otária fraca. Hospitais são para otários fracos.,voc sab quo teimos quer ir hospital fic diz mark otri frac hospit so otri frac,portuguese
ham  ,O que você pensou sobre mim. Primeira vez que você me viu na aula.,voc pens sobr mim primeir vez voc viu aul,portuguese
ham  ,"Um grama geralmente equivale a &lt;#&gt;, mas meio oitavo é mais inteligente e rende quase um segundo grama inteiro por &lt;#&gt;",gram geral equival ltgt mei oitav inteligent rend quas segund gram inteir ltgt,portuguese
ham  ,"K, para sua informação, o x tem uma carona amanhã cedo, mas ele vai ficar aqui em casa hoje à noite",k informa x caron amanh ced vai fic aqu cas hoj noit,portuguese
ham  ,"Uau. Nunca percebi que você estava tão envergonhado com suas acomodações. Achei que você gostasse, já que eu estava fazendo o melhor que podia e você sempre pareceu tão feliz com ""a caverna"". Sinto muito por não ter feito isso e não ter mais para dar. Sinto muito por ter oferecido. Sinto muito que seu quarto tenha sido tão embaraçoso.",uau nunc perceb voc to envergonh acomoda ache voc gost j faz melhor pod voc sempr parec to feliz cavern sint ter feit ter dar sint ter oferec sint quart sid to embara,portuguese
spam ,SMS. ac Sptv: O New Jersey Devils e o Detroit Red Wings jogam hóquei no gelo. Correto ou incorreto? Fim? Responder FIM SPTV,sms ac sptv new jersey devils detroit red wings jog hqu gel corret incorret fim respond fim sptv,portuguese
ham  ,Você sabe o que Mallika Sherawat fez ontem? Descubra agora em &lt;URL&gt;,voc sab mallik sherawat fez ontem descubr agor lturlgt,portuguese
spam ,"Parabéns! Passe especial de cinema de 1 ano para 2 é seu. Ligue para 09061209465 agora! C Suprman V, Matrix3, StarWars3, etc. todos os 4 GRÁTIS! bx420-ip4-5we. 150pm. Não perca!",parabns pass especial cinem ano lig agor c suprman v matrix starwars etc tod grtis bxipw pm perc,portuguese
ham  ,"Desculpe, ligo mais tarde na reunião.",desculp lig tard reuni,portuguese
ham  ,Diga onde você chegou,dig onde voc cheg,portuguese
ham  ,Sim...gauti e sehwag da série odi.,simgaut sehwag sri odi,portuguese
ham  ,Você vai ter que comprar um hambúrguer de $1 para você no caminho para casa. Não consigo nem me mover. A dor está me matando.,voc vai ter compr hambrgu voc caminh cas consig mov dor est mat,portuguese
ham  ,Ha ha ha boa piada. Garotas são caçadoras de situações.,ha ha ha boa piad garot so caador situa,portuguese
ham  ,Faz parte da verificação do QI,faz part verifica qi,portuguese
ham  ,"Desculpe, meus colegas de quarto demoraram uma eternidade. Posso passar aqui agora?",desculp coleg quart demor etern poss pass aqu agor,portuguese
ham  ,Ok lar eu chequei duas vezes com o cabeleireiro ele já disse que vou cortar bem curto. Ele disse que vai cortar até eu ficar bonita.,ok lar chequ duas vez cabeleireir j diss vou cort bem curt diss vai cort at fic bonit,portuguese
spam ,"Como um cliente valioso, tenho o prazer de informá-lo que, após a revisão recente do seu número de celular, você foi premiado com um prêmio de bônus de £ 1.500. Ligue para 09066364589",client valios praz informl aps revis recent nmer celul voc premi prmi bnus lig,portuguese
ham  ,"Hoje é o ""dia dedicado à música..."" Qual música você vai dedicar para mim? Envie isso para todos os seus amigos valiosos, mas primeiro me responda...",hoj dia dedic msic msic voc vai dedic mim envi tod amig valios primeir respond,portuguese
spam ,"Urgente UR premiado com uma viagem de cortesia para EuroDisinc Trav, Aco&Entry41 Ou £ 1000. Para reivindicar, envie uma mensagem de texto para DIS para 87121 18+6*£ 1,50 (mais de Mob. ShrAcom ou SglSuplt) 10, LS1 3AJ",urgent ur premi viag cortes eurodisinc trav acoentry reivindic envi mensag text dis mob shracom sglsuplt ls aj,portuguese
spam ,"Você ouviu falar da nova ""Barbie Divorce""? Ela vem com todas as coisas do Ken!",voc ouv fal nov barbi divorc vem tod cois ken,portuguese
ham  ,Pretendo fazer uma doação no final deste mês.,pret faz doa final dest ms,portuguese
ham  ,"Nossa, cara de sorte... Então pode economizar dinheiro... Hee...",car sort ento pod economiz dinheir hee,portuguese
ham  ,"Aula terminada, onde você está?",aul termin onde voc est,portuguese
ham  ,"OI, QUERIDA, ESTOU EM CASA AGORA, QUER FAZER ALGO? XX",oi quer cas agor quer faz algo xx,portuguese
ham  ,K..k:)onde você está?como foi sua apresentação?,kkond voc estcom apresenta,portuguese
ham  ,Você pode me ligar agora...,voc pod lig agor,portuguese
ham  ,Estou esperando machan. Me ligue quando estiver livre.,esper machan lig livr,portuguese
ham  ,Isso é legal. Sou um cavalheiro e tratarei você com dignidade e respeito.,legal cavalheir trat voc dignidad respeit,portuguese
ham  ,"Gosto muito de vocês, pessoal :) mas sou muito tímido, pai.",gost vocs pessoal tmid pai,portuguese
ham  ,Não funciona depois de &lt;#&gt; ou o que,funcion ltgt,portuguese
ham  ,Não é a mesma coisa aqui. Ainda estou procurando emprego. Quanto os Ta's ganham lá?,mesm cois aqu aind procur empreg quant tas ganh l,portuguese
ham  ,"Desculpe, ligo mais tarde",desculp lig tard,portuguese
ham  ,"K. Você me ligou agora mesmo, ah?",k voc lig agor ah,portuguese
ham  ,"Ok, estou indo para casa, oi, oi",ok indo cas oi oi,portuguese
ham  ,Você estará no lugar daquele homem,voc lug daquel hom,portuguese
ham  ,"Sim, próxima parada.",sim prxim par,portuguese
ham  ,"Eu te ligo mais tarde, não tenho rede. Se for urgente, me mande uma mensagem.",lig tard red urgent mand mensag,portuguese
ham  ,"Sério, quando você vai entrar? Só preciso de mais 2 ingressos e mais uma jaqueta e pronto. Já usei todos os meus multis.",sri voc vai entrar s precis ingress jaquet pront j use tod mult,portuguese
ham  ,"Sim, comecei a enviar solicitações para fazê-lo, mas a dor voltou, então estou de volta na cama. Moedas dobradas na fábrica também. Tenho que sacar todos os meus nitros.",sim comec envi solicita fazl dor volt ento volt cam moed dobr fbric tambm sac tod nitr,portuguese
ham  ,"Eu realmente não estou a fim ainda hoje à noite, querida",realment fim aind hoj noit quer,portuguese
ham  ,"Ela kano., baixe, venha quando estiver livre ..",kan baix venh livr,portuguese
ham  ,"Sim, faça! Mas não fique muito perto - você vai pegar alguma coisa!",sim faa fiqu pert voc vai peg algum cois,portuguese
ham  ,Desculpe ser chato. Tudo bem se nos encontrarmos outra noite? Passei o fim da tarde na emergência e isso significa que não fiz nada do y stuff42moro e isso inclui todas as minhas planilhas de ponto e tal. Desculpe.,desculp chat tud bem encontr outr noit pass fim tard emergnc signif fiz nad y stuffmor inclu tod planilh pont tal desculp,portuguese
ham  ,Sorria de prazer Sorria de dor Sorria quando os problemas caírem como chuva Sorria quando algo te machuca Sorria porque ALGUÉM ainda ama te ver sorrindo!!,sorr praz sorr dor sorr problem car chuv sorr algo machuc sorr porqu algum aind ama ver sorr,portuguese
spam ,"Ligue para nosso representante de atendimento ao cliente no número 0800 169 6031 entre 10h e 21h, pois você GANHOU um prêmio garantido de £ 1.000 em dinheiro ou £ 5.000!",lig represent atend client nmer h h pois voc ganh prmi garant dinheir,portuguese
ham  ,"Não planejei comprar mais tarde. Já verifiquei lido, só tenho 530, mostra na tarde. Você já terminou o trabalho?",planej compr tard j verifiqu lid s mostr tard voc j termin trabalh,portuguese
spam ,"Seu toque gratuito está esperando para ser coletado. Basta enviar a senha ""MIX"" para 85069 para verificar. Pegue Usher e Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",toqu gratuit est esper colet bast envi senh mix verific peg usher britney fml po box mk h ppw,portuguese
ham  ,Assistindo filme em telugu... e você?,assist film telugu voc,portuguese
ham  ,"eu vejo. Quando terminarmos, teremos muitos empréstimos para pagar",vej termin muit emprstim pag,portuguese
ham  ,"Olá. A semana foi boa - estou de férias agora! Sim, vou correr um pouco. Esqueci que tenho hora marcada no cabeleireiro às quatro, então preciso chegar em casa e tomar banho antes. Isso causa problemas para você?""",ol seman boa fri agor sim vou corr pouc esquec hor marc cabeleireir s quatr ento precis cheg cas tom banh antes caus problem voc,portuguese
ham  ,Eu vejo uma animação de xícara de café,vej anima xcar caf,portuguese
ham  ,"Por favor, não me mande mais mensagens. Não tenho mais nada a dizer.",favor mand mensagens nad diz,portuguese
ham  ,"Ok, diga seu preço, desde que seja legal! Quando posso buscá-los? Você tem x ams xx",ok dig pre desd legal poss buscl voc x ams xx,portuguese
ham  ,Ainda estou procurando um carro para comprar. E ainda não fiz o teste de direção.,aind procur carr compr aind fiz test dir,portuguese
ham  ,"Conforme sua solicitação, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi definido como sua melodia de chamada para todos os chamadores. Pressione *9 para copiar a melodia de chamada de seus amigos",conform solicita mell mell oru minnaminungint nurungu vett defin melod cham tod chamador pression copi melod cham amig,portuguese
ham  ,"Uau. Você está certo! Eu não queria fazer isso. Acho que quando desisti de Boston Men e mudei meu local de busca para NYC, algo mudou. Porque na minha página de login ainda diz Boston.",uau voc est cert quer faz acho desist boston men mud local busc nyc algo mud porqu pgin login aind diz boston,portuguese
ham  ,Umma minha vida e vava umma te amo muito querida,umma vid vav umma amo quer,portuguese
ham  ,Muito obrigado pelos seus desejos no meu aniversário. Obrigado por tornar meu aniversário verdadeiramente memorável.,obrig desej aniversri obrig torn aniversri verdadeir memorvel,portuguese
ham  ,"Certo, te ligo quando eu tiver algum dinheiro",cert lig algum dinheir,portuguese
ham  ,Como meu endereço IP testaria isso considerando que meu computador não é um servidor Minecraft,ender ip test consider comput servidor minecraft,portuguese
ham  ,"Eu sei! Velhos rabugentos. Minha mãe era tipo, é melhor você não mentir. Mas eu sempre sou a pessoa que faz piadas...",sei velh rabugent tip melhor voc ment sempr pesso faz piad,portuguese
ham  ,Não se preocupe. Acho que ele está ocupado.,preocup acho est ocup,portuguese
ham  ,Qual é o plural do substantivo research?,plural substant research,portuguese
ham  ,Vou jantar. Te mando uma mensagem depois.,vou jant mand mensag,portuguese
ham  ,Estou bem com isso porque eu gosto de tentar coisas novas. Mas eu tenho medo que você não goste de mim. Porque você disse não muito alto.,bem porqu gost tent cois nov med voc gost mim porqu voc diss alto,portuguese
spam ,GENT! Estamos tentando entrar em contato com você. O sorteio do último fim de semana mostra que você ganhou um prêmio de £ 1000 GARANTIDO. Ligue para 09064012160. Código de reivindicação K52. Válido apenas por 12 horas. 150 ppm,gent tent entrar contat voc sortei ltim fim seman mostr voc ganh prmi garant lig cdig reivindica k vlid apen hor ppm,portuguese
ham  ,"Wa, sua frase de abertura é muito formal... De qualquer forma, eu também estou bem, só que estou comendo demais e engordando... Haha... Então aconteceu alguma coisa especial?",wa fras abertur formal qualqu form tambm bem s com dem engord hah ento acontec algum cois especial,portuguese
ham  ,"Quando entrei na minha cabine, minha PA disse: ''Feliz aniversário, chefe!!''. Eu me senti especial. Ela me convidou para almoçar. Depois do almoço, ela me convidou para o apartamento dela. Fomos lá.",entre cabin pa diss feliz aniversri chef sent especial convid almo almo convid apart l,portuguese
spam ,Você é um vencedor. Você foi especialmente selecionado para receber £ 1.000 ou férias 4* (voos incluídos). Fale com um operador ao vivo para reivindicar 0871277810910p/min (18+),voc vencedor voc especial selecion receb fri voos includ fal oper viv reivindic pmin,portuguese
ham  ,"Goodo! Sim, precisamos falar sexta-feira - proporção ovo-batata para tortilha necessária!",good sim precis fal sextafeir propor ovobatat tortilh necessr,portuguese
ham  ,"Hmm...meu tio acabou de me informar que ele está pagando a escola diretamente. Então, por favor, compre comida.",hmmmeu tio acab inform est pag escol diret ento favor compr com,portuguese
spam ,"PRIVADO! Seu extrato de conta de 2004 para 07742676969 mostra 786 pontos de bônus não resgatados. Para reivindicar, ligue para 08719180248 Código de identificação: 45239 Expira",priv extrat cont mostr pont bnus resgat reivindic lig cdig identifica expir,portuguese
spam ,"URGENTE! Seu número de celular recebeu o prêmio de bônus de £ 2.000 em 5/9/03. Esta é nossa última tentativa de contato com você! Ligue do telefone fixo 09064019788 BOX42WR29C, 150PPM",urgent nmer celul receb prmi bnus ltim tentat contat voc lig telefon fix boxwrc ppm,portuguese
ham  ,aqui está meu novo endereço - maçãs e pares e toda essa baboseira,aqu est nov ender par tod baboseir,portuguese
spam ,"Os números Voda de hoje que terminam em 7548 são selecionados para receber um prêmio de $ 350. Se você tiver uma correspondência, ligue para 08712300220 citando o código de reivindicação 4041, aplicativo de taxas padrão",nmer vod hoj termin so selecion receb prmi voc correspondnc lig cit cdig reivindica aplic tax padr,portuguese
ham  ,Vou para sao mu hoje. Será feito somente às 12,vou sao mu hoj feit soment s,portuguese
ham  ,Ü prevê que horas terminará de comprar?,prev hor termin compr,portuguese
ham  ,"Bom material, farei isso.",bom material far,portuguese
ham  ,"Só para você saber, yetunde ainda não enviou dinheiro. Acabei de enviar uma mensagem para ela para não se incomodar em enviar. Então acabou, você não precisa se envolver em nada. Eu não deveria ter imposto nada a você em primeiro lugar, então, por isso, peço desculpas.",s voc sab yetund aind envi dinheir acab envi mensag incomod envi ento acab voc precis envolv nad dev ter impost nad voc primeir lug ento peo desculp,portuguese
ham  ,Você está aí na sala?,voc est sal,portuguese
ham  ,"OI GAROTA. COMO VOCÊ ESTÁ? ESPERO QUE ESTEJA BEM. ME DEL R BAK! DE NOVO, MUITO TEMPO SEM C! ME LIGUE EM BREVE DA LUCYxx",oi garot voc est esper bem del r bak nov temp c lig brev lucyxx,portuguese
ham  ,K..k:)quanto custa?,kkquant cust,portuguese
ham  ,Estou em casa.,cas,portuguese
ham  ,"Caro, ligarei amanhã. Por favor, atenda.",car lig amanh favor atend,portuguese
ham  ,Primeiro responda à minha pergunta.,primeir respond pergunt,portuguese
spam ,"Sunshine Quiz Wkly Q! Ganhe um DVD player Sony top se souber em que país fica o Algarve? Envie uma mensagem de texto para 82277. £ 1,50 SP: Tyrone",sunshin quiz wkly q ganh dvd play sony top soub pas fic algarv envi mensag text sp tyron,portuguese
spam ,Quer transar hoje à noite? Quer que locais reais de Dogging sejam enviados diretamente para sua turma? Junte-se à maior rede de Dogging do Reino Unido enviando GRAVEL para 69888! Nt. ec2a. 31p.msg@150p,quer trans hoj noit quer loc rea dogging envi diret turm juntes maior red dogging rein unid envi gravel nt eca pmsgp,portuguese
ham  ,Eu só tenho msn. É yijue@hotmail.com,s msn yijuehotmailcom,portuguese
ham  ,Ele está lá. Você liga e o conhece,est l voc lig conhec,portuguese
ham  ,"Não, não. Vou verificar todos os quartos antes das atividades",vou verific tod quart antes ativ,portuguese
spam ,"Você não receberá mais nenhuma mensagem do chat svc. Para serviços Hardcore GRATUITOS, envie uma mensagem de texto para: 69988 Se você não receber nada, deverá verificar a idade com sua rede e tentar novamente.",voc receb nenhum mensag chat svc servi hardcor gratuit envi mensag text voc receb nad dev verific idad red tent nov,portuguese
ham  ,"Tenho c... Estou com preguiça de digitar... Esqueci ü em lect... Vi uma bolsa, mas não é muito legal...",c pregu digit esquec lect vi bols legal,portuguese
ham  ,"K, me mande uma mensagem quando estiver a caminho",k mand mensag caminh,portuguese
ham  ,"Senhor, estou esperando seu e-mail.",senhor esper email,portuguese
ham  ,"Um pensamento swt: ""Nunca se canse de fazer pequenas coisas para pessoas amáveis..."" Porque... às vezes essas pequenas coisas ocupam a maior parte em seus corações... Deus, não é?",pensament swt nunc cans faz pequen cois pesso amve porqu s vez pequen cois ocup maior part cora deus,portuguese
ham  ,"Eu sei que você está. Você pode abrir a parte de trás, por favor?",sei voc est voc pod abrir part trs favor,portuguese
ham  ,"Sim, vejo você não na hora certa",sim vej voc hor cert,portuguese
ham  ,Qual é o nome do pessoal que está dando aula para nós?,nom pessoal est dand aul ns,portuguese
spam ,"FreeMsg Por que você não respondeu ao meu texto? Eu sou Randy, sexy, mulher e moro na região. Adoraria ouvir de você. Netcollex Ltd 08700621170150p por msg responder Parar para terminar",freemsg voc respond text randy sexy mulh mor regi ador ouv voc netcollex ltd p msg respond par termin,portuguese
ham  ,"Ummma. Ligarei depois do check-in. Nossa vida começará no Catar, então, por favor, rezem muito.",ummma lig checkin vid com cat ento favor rez,portuguese
ham  ,"K..i apaguei meu contato, por quê?",ki apagu contat qu,portuguese
ham  ,Sindu conseguiu um emprego na Birla Soft.,sindu consegu empreg birl soft,portuguese
ham  ,O vinho está fluindo e eu nunca...,vinh est flu nunc,portuguese
ham  ,"Sim, acho que o cinema é melhor porque não preciso ir até a praça, meu Deus.",sim acho cinem melhor porqu precis ir at pra deus,portuguese
ham  ,Ok... Sua resposta típica...,ok respost tpic,portuguese
ham  ,"Conforme sua solicitação, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi definido como sua melodia de chamada para todos os chamadores. Pressione *9 para copiar a melodia de chamada de seus amigos",conform solicita mell mell oru minnaminungint nurungu vett defin melod cham tod chamador pression copi melod cham amig,portuguese
ham  ,"Você está em todo lugar, sujeira, no chão, nas janelas, até na minha camisa. E às vezes quando abro a boca, você é tudo o que sai. Eu sonho com meu mundo sem você, então metade das minhas tarefas também estão fora. Um momento de alegria para mim, muitos programas de TV que verei. Mas acho que como todas as coisas, você simplesmente deve existir, como chuva, granizo e névoa, e quando meu tempo aqui acabar, você e eu nos tornaremos um.",voc est tod lug sujeir cho janel at camis s vez abro boc voc tud sai sonh mund voc ento metad taref tambm esto moment alegr mim muit program tv ver acho tod cois voc simples dev exist chuv graniz nvo temp aqu acab voc torn,portuguese
ham  ,"Aaaaooocerto, você está no trabalho?",aaaaooocert voc est trabalh,portuguese
ham  ,Estou saindo de casa agora...,saind cas agor,portuguese
ham  ,"Olá, meu amor. O que você está fazendo? Você chegou naquela entrevista hoje? Você está feliz? Você está sendo um bom menino? Você pensa em mim? Você está sentindo minha falta?",ol amor voc est faz voc cheg naquel entrev hoj voc est feliz voc est send bom menin voc pens mim voc est sent falt,portuguese
spam ,Anúncio de atendimento ao cliente. Você tem uma entrega de Ano Novo esperando por você. Ligue para 07046744435 agora para agendar a entrega,annci atend client voc entreg ano nov esper voc lig agor agend entreg,portuguese
spam ,Você é um vencedor. Você foi especialmente selecionado para receber £ 1.000 em dinheiro ou férias 4* (voos incluídos). Fale com um operador ao vivo para reivindicar 0871277810810,voc vencedor voc especial selecion receb dinheir fri voos includ fal oper viv reivindic,portuguese
ham  ,Mantenha-se seguro por mim porque eu preciso de você e já sinto sua falta e invejo todos que te veem na vida real,mantenhas segur mim porqu precis voc j sint falt invej tod veem vid real,portuguese
ham  ,Carro e casa novos para meus pais.:) Só tenho um novo emprego em mãos:),carr cas nov pais s nov empreg mos,portuguese
ham  ,Estou tão apaixonado por você. Estou animado a cada dia que passo com você. Você me faz tão feliz.,to apaixon voc anim cad dia pass voc voc faz to feliz,portuguese
spam ,-PLS PARE bootydelious (32/F) está convidando você para ser amigo dela. Responda SIM-434 ou NÃO-434 Veja ela: www.SMS.ac/u/bootydelious PARE? Envie STOP FRND para 62468,pls par bootydelious f est convid voc amig respond sim vej par envi stop frnd,portuguese
spam ,"BangBabes Seu pedido está a caminho. Você DEVE receber uma mensagem de serviço para baixar seu conteúdo. Se não receber, vá para wap. bangb. tv no menu de serviços/internet móvel do seu celular",bangbab ped est caminh voc dev receb mensag servi baix conted receb v wap bangb tv menu serviosinternet mvel celul,portuguese
ham  ,Já coloquei todos os seus pontos no módulo de e-culturas.,j coloqu tod pont mdul ecultur,portuguese
